sample	condition	path
1_1	holoclone	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/1_1
1_2	holoclone	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/1_2
1_5	holoclone	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/1_5
P1	parent	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/P1
P2	parent	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/P2
P3	parent	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/P3
2_2	meroclone	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/2_2
2_3	meroclone	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/2_3
2_4	meroclone	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/2_4
3_2	paraclone	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/3_2
3_4	paraclone	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/3_4
3_7	paraclone	/data/users/kkohli/rnaseq/lncRNA/data/kallisto/3_7
