gene_id	n_exons	b	abs_b	type
STRG.1001	5	-1.562459685	1.562459685	holo
STRG.10015	12	0.430935415	0.430935415	mero
STRG.10017	24	0.42357213	0.42357213	holo
STRG.1002	19	-2.567874647	2.567874647	holo
STRG.1002	19	-0.823123931	0.823123931	holo
STRG.10029	8	0.396718098	0.396718098	para
STRG.10029	8	0.516021275	0.516021275	holo
STRG.10029	8	0.566930686	0.566930686	para
STRG.10031	30	-2.481280917	2.481280917	holo
STRG.10039	11	-1.500362806	1.500362806	holo
STRG.10039	11	1.361133687	1.361133687	para
STRG.10054	13	0.396718098	0.396718098	para
STRG.10054	13	0.516021275	0.516021275	holo
STRG.10062	17	-1.102750703	1.102750703	mero
STRG.10062	17	-0.707172591	0.707172591	para
STRG.10076	9	-2.116239488	2.116239488	holo
STRG.10076	9	-0.804107572	0.804107572	mero
STRG.10076	9	-0.529580182	0.529580182	para
STRG.10076	9	0.589761086	0.589761086	para
STRG.10078	12	-0.758967881	0.758967881	para
STRG.10079	39	-0.60335415	0.60335415	holo
STRG.10085	14	-0.491202105	0.491202105	mero
STRG.10090	3	-0.707172591	0.707172591	para
STRG.10094	13	-0.646038828	0.646038828	holo
STRG.10097	12	-0.371308559	0.371308559	holo
STRG.10121	6	-1.08965524	1.08965524	holo
STRG.10121	6	-1.077797337	1.077797337	holo
STRG.10121	6	0.430935415	0.430935415	mero
STRG.10121	6	0.64876083	0.64876083	para
STRG.10127	13	0.566930686	0.566930686	para
STRG.10130	12	-0.758967881	0.758967881	para
STRG.1015	4	-3.640696366	3.640696366	holo
STRG.1015	4	-3.350108602	3.350108602	holo
STRG.1015	4	-0.823123931	0.823123931	holo
STRG.10159	13	-4.727342229	4.727342229	holo
STRG.10159	13	1.37858224	1.37858224	holo
STRG.10169	4	-1.549818222	1.549818222	holo
STRG.10169	4	-1.30554692	1.30554692	para
STRG.10169	4	1.161545564	1.161545564	holo
STRG.10176	7	-0.735762635	0.735762635	holo
STRG.10176	7	0.635406546	0.635406546	holo
STRG.10177	16	-4.793584752	4.793584752	para
STRG.10177	16	-0.60335415	0.60335415	holo
STRG.10177	16	0.996166765	0.996166765	holo
STRG.10200	18	-4.039648153	4.039648153	para
STRG.10200	18	-2.888554877	2.888554877	para
STRG.10200	18	2.497341894	2.497341894	holo
STRG.10217	11	-0.951587879	0.951587879	mero
STRG.10217	11	-0.897475143	0.897475143	para
